title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
Enhancing Fine-Grained Smart Contract Vulnerability Detection Through Domain Features and Transparent Interpretation,,2025,https://ieeexplore.ieee.org/document/10976248/,,en,Journal Article,1,0,0
Fine-Tuning Pre-trained Model with Optimizable Prompt Learning for Code Vulnerability Detection,,2024,https://ieeexplore.ieee.org/document/10771498/,,en,Conference Paper,1,0,0
Advanced Smart Contract Vulnerability Detection Using Large Language Models,,2024,https://ieeexplore.ieee.org/document/10851734/,,en,Conference Paper,1,0,0
SCOBERT: A Pre-Trained BERT for Smart Contract Vulnerability Detection,,2023,https://ieeexplore.ieee.org/document/10381074/,,en,Conference Paper,1,0,0
Firmware Vulnerability Detection in Embedded Systems and Internet of Things,,2022,https://ieeexplore.ieee.org/document/10010804/,,en,Conference Paper,1,0,0
Software Vulnerability Detection via Doc2vec with path representations,,2023,https://ieeexplore.ieee.org/document/10430066/,,en,Conference Paper,1,0,0
VulSAT: Source Code Vulnerability Detection Scheme Based on SAT Structure,,2023,https://ieeexplore.ieee.org/document/10271020/,,en,Conference Paper,1,0,0
Code Execution Capability as a Metric for Machine Learning-Assisted Software Vulnerability Detection Models,,2023,https://ieeexplore.ieee.org/document/10538723/,,en,Conference Paper,1,0,0
CSCVD: A Method of Source Code Vulnerability Detection Based on Semantic Feature and Context Dependence,,2023,https://ieeexplore.ieee.org/document/10507267/,,en,Conference Paper,1,0,0
Elevating Smart Contract Defenses: A Coordinated NLP-Based Strategy for Vulnerability Detection,,2024,https://ieeexplore.ieee.org/document/10731796/,,en,Conference Paper,1,0,0
A Design and Development of Web Application Vulnerability Detection Using Graph-Based Modeling Analysis Over CAPEC,,2024,https://ieeexplore.ieee.org/document/10613700/,,en,Conference Paper,1,0,0
A Vulnerability Detection Method for Smart Contracts Based on Dynamic Meta Optimizer,,2025,https://ieeexplore.ieee.org/document/10948492/,,en,Journal Article,1,0,0
Code Vulnerability Detection via Signal-Aware Learning,,2023,https://ieeexplore.ieee.org/document/10190513/,,en,Conference Paper,1,0,0
Comparative Analysis of Graph Representation Techniques for Code Vulnerability Detection,,2023,https://ieeexplore.ieee.org/document/10526093/,,en,Conference Paper,0,,
Beyond the Hype: An Empirical Assessment of LLMs and Traditional ML for Code Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11081515/,,en,Conference Paper,0,,
Improving Vulnerability Detection with Hybrid Code Graph Representation,,2023,https://ieeexplore.ieee.org/document/10479441/,,en,Conference Paper,1,0,0
Transformer-Based Vulnerability Detection in IoT Firmware Binaries Using Opcode Sequences,,2025,https://ieeexplore.ieee.org/document/11080410/,,en,Journal Article,1,0,0
Manual Prompt Engineering is Not Dead: A Case Study on Large Language Models for Code Vulnerability Detection with DSPy,,2025,https://ieeexplore.ieee.org/document/10908746/,,en,Conference Paper,0,,
Keep It Simple: Self-Adaptive Code Graph Simplification for Accurate Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11099046/,,en,Journal Article,1,0,0
Critical Understanding of Security Vulnerability Detection Plugin Evaluation Reports,,2021,https://ieeexplore.ieee.org/document/9711980/,,en,Conference Paper,1,0,0
An Integration Testing Platform for Software Vulnerability Detection Method,,2017,https://ieeexplore.ieee.org/document/8029544/,,en,Conference Paper,1,0,0
A Brief Review on Deep Learning Based Software Vulnerability Detection,,2021,https://ieeexplore.ieee.org/document/9654351/,,en,Conference Paper,0,,
Supply Chain Security: Pre-training Model for Python Source Code Vulnerability Detection,,2024,https://ieeexplore.ieee.org/document/10695665/,,en,Conference Paper,1,0,0
IoT Vulnerability Detection using Featureless LLM CyBert Model,,2024,https://ieeexplore.ieee.org/document/10945147/,,en,Conference Paper,1,0,0
Firmware Vulnerability Detection Algorithm Based on Matching Pattern-Specific Numerical Features With Structural Features,,2024,https://ieeexplore.ieee.org/document/10473784/,,en,Journal Article,1,0,0
An Ensemble Transformer Approach with Cross-Attention for Automated Code Security Vulnerability Detection and Documentation,,2025,https://ieeexplore.ieee.org/document/11012039/,,en,Conference Paper,1,0,0
A Smart Contract Vulnerability Detection Model Based on Multi-Type Features and Pre-Training Techniques,,2023,https://ieeexplore.ieee.org/document/10430002/,,en,Conference Paper,1,0,0
Adversarial Training for Robustness Enhancement in LLM-Based Code Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11065803/,,en,Conference Paper,1,0,0
Mitigating Information Leakage in Large Language Models: Evaluating the Impact of Code Obfuscation on Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11129599/,,en,Conference Paper,0,,
Exploring Smart Contracts based on Web 3.0 Applications with respect to Vulnerability Detection Mechanisms,,2024,https://ieeexplore.ieee.org/document/10560371/,,en,Conference Paper,0,,
Research on Requirement Vulnerability Detection Method Based on Graph Neural Network and Counterfactual Explanation,,2025,https://ieeexplore.ieee.org/document/11190216/,,en,Conference Paper,1,0,0
Impact of Identifier Normalization on Vulnerability Detection Techniques,,2025,https://ieeexplore.ieee.org/document/11272061/,,en,Conference Paper,0,,
AI-Powered Vulnerability Detection in Code Using BERT-Based LLM with Transparency Measures,,2025,https://ieeexplore.ieee.org/document/11186618/,,en,Conference Paper,1,0,0
Fuzzy Test Guidance Technology for Power Internet of Things Firmware Vulnerability Detection,,2021,https://ieeexplore.ieee.org/document/9701040/,,en,Conference Paper,1,0,0
A Cross-Language Dynamic Vulnerability Detection Methodology Driven by Multi-Model Collaboration,,2025,https://ieeexplore.ieee.org/document/11163165/,,en,Conference Paper,1,0,0
VulKiller: Java Web Vulnerability Detection with Code Property Graph and Large Language Models,,2025,https://ieeexplore.ieee.org/document/10890652/,,en,Conference Paper,1,0,0
LLM Assisted Dual-View Awareness Framework for Smart Contract Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11229499/,,en,Conference Paper,1,0,0
VulMDS: Precise Clone Vulnerability Detection via Multi-Dimensional Slicing,,2025,https://ieeexplore.ieee.org/document/11058515/,,en,Conference Paper,1,0,0
Optimizing Code Vulnerability Detection via GRPO and SFT Fine-Tuning of Compact LLMs,,2025,https://ieeexplore.ieee.org/document/11360339/,,en,Conference Paper,1,0,0
Multi-Label Smart Contract Vulnerability Detection Using Graph Contrastive Learning with Multi-View Fusion,,2026,https://ieeexplore.ieee.org/document/11359794/,,en,Early Access Article,1,0,0
A novel method for vulnerability detection based on fusion and hyperbolic neural network graphs,,2026,https://ieeexplore.ieee.org/document/11359578/,,en,Early Access Article,1,0,0
AI-Powered Vulnerability Detection for Secure Software Development,,2025,https://ieeexplore.ieee.org/document/11234449/,,en,Conference Paper,1,0,0
LEGEM: A Scalable and Adversarial-Resilient Framework for Cross-Platform IoT Binary Vulnerability Detection,,2026,https://ieeexplore.ieee.org/document/11235936/,,en,Journal Article,1,0,0
LLMs-Driven Vulnerability Detection Combining LogicASG Reasoning with In-Context Learning,,2025,https://ieeexplore.ieee.org/document/11126784/,,en,Conference Paper,1,0,0
SERNet-T: A Smart Contract Multi-label Vulnerability Detection Model Based on SE Attention and One-Dimensional Residual Network,,2024,https://ieeexplore.ieee.org/document/10843662/,,en,Conference Paper,1,0,0
HouseFuzz: Service-Aware Grey-Box Fuzzing for Vulnerability Detection in Linux-Based Firmware,,2025,https://ieeexplore.ieee.org/document/11023421/,,en,Conference Paper,1,0,0
Research on Smart Contract Vulnerability Detection Based on Graph Neural Networks,,2025,https://ieeexplore.ieee.org/document/11183399/,,en,Conference Paper,1,0,0
AI Techniques for Software Vulnerability Detection and Mitigation,,2023,https://ieeexplore.ieee.org/document/10354233/,,en,Conference Paper,0,,
Software Vulnerability Detection Based on LLM,,2025,https://ieeexplore.ieee.org/document/11331753/,,en,Conference Paper,1,0,0
A Vulnerability Detection Model for Java Systems Based on Complex Networks,,2019,https://ieeexplore.ieee.org/document/9060132/,,en,Conference Paper,1,0,0
Learning to Unfix: Towards ML Robustness in Vulnerability Detection via Structure-Aware Code Generation,,2024,https://ieeexplore.ieee.org/document/10917970/,,en,Conference Paper,1,0,0
Source Code Vulnerability Detection Based on CodeBERT and Graph Attention Network,,2025,https://ieeexplore.ieee.org/document/11348681/,,en,Conference Paper,1,0,0
Smart Contract Vulnerability Detection Using CodeBERT for Token-Level Semantics Understanding,,2025,https://ieeexplore.ieee.org/document/11307426/,,en,Conference Paper,1,0,0
PATVD:Vulnerability Detection Based on Pre-training Techniques and Adversarial Training,,2022,https://ieeexplore.ieee.org/document/10189687/,,en,Conference Paper,1,0,0
Utilizing Large Programming Language Models on Software Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11208282/,,en,Conference Paper,0,,
Facilitating Access Control Vulnerability Detection in Modern Java Web Applications With Accurate Permission Check Identification,,2025,https://ieeexplore.ieee.org/document/11180138/,,en,Journal Article,1,0,0
A Deep Learning-based Approach for an Automated Vulnerability Detection in Source Code,,2023,https://ieeexplore.ieee.org/document/10385129/,,en,Conference Paper,1,0,0
Deep Learning-based Binary Analysis for Vulnerability Detection in x86-64 Machine Code,,2025,https://ieeexplore.ieee.org/document/11252836/,,en,Conference Paper,0,,
CosFormer: A Code Semantic-Aware Transformer for Vulnerability Detection,,2026,https://ieeexplore.ieee.org/document/11369426/,,en,Early Access Article,1,0,0
Prompt Engineering vs. Fine-Tuning for LLM-Based Vulnerability Detection in Solana and Algorand Smart Contracts,,2025,https://ieeexplore.ieee.org/document/11229457/,,en,Conference Paper,0,,
Software Vulnerability Detection Based on Binary Intermediate Slicing,,2023,https://ieeexplore.ieee.org/document/10430015/,,en,Conference Paper,1,0,0
UniFuzz: A Unified Fuzzing Framework for Smart Contract Vulnerability Detection with LLMs and Audit Reports,,2025,https://ieeexplore.ieee.org/document/11250519/,,en,Conference Paper,1,0,0
VulSCS: A Source Code Vulnerability Detection System Using Secondary Code Slicing,,2025,https://ieeexplore.ieee.org/document/11343244/,,en,Conference Paper,1,0,0
SC-DiET: Smart Contract Vulnerability Detection Based on Semantic Extraction and Graph Fusion for Distributed Energy Trading,,2026,https://ieeexplore.ieee.org/document/11365538/,,en,Early Access Article,1,0,0
An empirical study on the impact of graph representations for code vulnerability detection using graph learning,,2024,https://ieeexplore.ieee.org/document/10660979/,,en,Conference Paper,0,,
Research on Cross-Project Vulnerability Detection Method for Open Source Software,,2025,https://ieeexplore.ieee.org/document/11010531/,,en,Conference Paper,0,,
Vulnerability Detection in EOSIO Smart Contracts Based on Teacher-Student Networks,,2025,https://ieeexplore.ieee.org/document/11228882/,,en,Conference Paper,1,0,0
FragmentFool: Fragment-based Adversarial Perturbation for Graph Neural Network-based Vulnerability Detection,,2025,https://ieeexplore.ieee.org/document/11268830/,,en,Conference Paper,1,0,0
ANFM: Adaptable Node Representation Modeling in Smart Contracts for Vulnerability Detection Using Graph-Based Approaches,,2025,https://ieeexplore.ieee.org/document/11206087/,,en,Conference Paper,1,0,0
GNN-Based Code Vulnerability Detection Using Enriched Code Graphs,,2025,https://ieeexplore.ieee.org/document/11188135/,,en,Conference Paper,1,0,0
MVDetecter: Vulnerability Primitive-based General Memory Vulnerability Detection,,2022,https://ieeexplore.ieee.org/document/10070698/,,en,Conference Paper,1,0,0
Efficient Vulnerability Detection in Solidity Ethereum Smart Contracts Through Bytecode Analysis Using Customized CNN,,2025,https://ieeexplore.ieee.org/document/11210666/,,en,Conference Paper,1,0,0
Towards Opcode-Based Smart Contract Reentrancy Vulnerability Detection Using Explainable Deep Learning,,2025,https://ieeexplore.ieee.org/document/11224816/,,en,Conference Paper,1,0,0
SCcheck: A Novel Graph-Driven and Attention- Enabled Smart Contract Vulnerability Detection Framework for Web 3.0 Ecosystem,,2024,https://ieeexplore.ieee.org/document/10292506/,,en,Journal Article,1,0,0
Enhancing Smart Contract Security with Explainable AI: A Framework for Re-entrancy Vulnerability Detection and Explanation,,2025,https://ieeexplore.ieee.org/document/11021147/,,en,Conference Paper,1,0,0
Vulnerability Detection in PHP Web Application Using Lexical Analysis Approach with Machine Learning,,2018,https://ieeexplore.ieee.org/document/8705809/,,en,Conference Paper,1,0,0
Software Security: Building Security In,,2006,https://ieeexplore.ieee.org/document/4021964/,,en,Conference Paper,0,,
Software Security in Practice,,2011,https://ieeexplore.ieee.org/document/5739646/,,en,Magazine Article,0,,
Improving Software Security by Eliminating the CWE Top 25 Vulnerabilities,,2009,https://ieeexplore.ieee.org/document/5054914/,,en,Magazine Article,0,,
A Methodology for Enhancing Software Security During Development Processes,,2018,https://ieeexplore.ieee.org/document/8593135/,,en,Conference Paper,1,0,0
Best practices for software security: An overview,,2008,https://ieeexplore.ieee.org/document/4777730/,,en,Conference Paper,0,,
Six Tech Trends Impacting Software Security,,2017,https://ieeexplore.ieee.org/document/7924264/,,en,Magazine Article,0,,
Essential Factors for Successful Software Security Awareness Training,,2006,https://ieeexplore.ieee.org/document/1704791/,,en,Magazine Article,0,,
The Contemporary Software Security Landscape,,2007,https://ieeexplore.ieee.org/document/4218558/,,en,Magazine Article,0,,
Building Security In: Preparing for a Software Security Career,,2013,https://ieeexplore.ieee.org/document/6682937/,,en,Magazine Article,0,,
20 Years of Software Security,,2020,https://ieeexplore.ieee.org/document/9237332/,,en,Magazine Article,0,,
Technology Transfer: A Software Security Marketplace Case Study,,2011,https://ieeexplore.ieee.org/document/5984788/,,en,Magazine Article,0,,
Highlights from ICSE 2019: Software Security and Mobile App Energy Consumption,,2019,https://ieeexplore.ieee.org/document/8802626/,,en,Magazine Article,0,,
From the ground up: the DIMACS software security workshop,,2003,https://ieeexplore.ieee.org/document/1193213/,,en,Magazine Article,0,,
"An Empirical Study on the Relationship between Software Security Skills, Usage and Training Needs in Agile Settings",,2016,https://ieeexplore.ieee.org/document/7784618/,,en,Conference Paper,0,,
Software security in open source development: A systematic literature review,,2017,https://ieeexplore.ieee.org/document/8250205/,,en,Conference Paper,0,,
Evaluation of static analysis tools for software security,,2014,https://ieeexplore.ieee.org/document/6987569/,,en,Conference Paper,1,0,0
"Generative AI for Software Security Analysis: Fundamentals, Applications, and Challenges",,2024,https://ieeexplore.ieee.org/document/10634314/,,en,Magazine Article,0,,
Software Security; A Vulnerability Activity Revisit,,2008,https://ieeexplore.ieee.org/document/4529435/,,en,Conference Paper,1,0,0
Interventions for Software Security: Creating a Lightweight Program of Assurance Techniques for Developers,,2019,https://ieeexplore.ieee.org/document/8804446/,,en,Conference Paper,1,0,0
On Runtime Software Security of TrustZone-M Based IoT Devices,,2020,https://ieeexplore.ieee.org/document/9322370/,,en,Conference Paper,0,,
DASP: A Framework for Driving the Adoption of Software Security Practices,,2023,https://ieeexplore.ieee.org/document/10014531/,,en,Journal Article,1,0,0
Software Security Investment: The Right Amount of a Good Thing,,2016,https://ieeexplore.ieee.org/document/7839789/,,en,Conference Paper,0,,
"IT Security Is From Mars, Software Security Is From Venus",,2020,https://ieeexplore.ieee.org/document/9138560/,,en,Magazine Article,1,0,0
Software security analysis - execution phase audit,,2005,https://ieeexplore.ieee.org/document/1517748/,,en,Conference Paper,0,,
Detecting Software Security Vulnerability during an Agile Development by Testing the Changes to the Security Posture of Software Systems,,2020,https://ieeexplore.ieee.org/document/9458121/,,en,Conference Paper,0,,
Scaling Software Security Analysis to Satellites: Automated Fuzz Testing and Its Unique Challenges,,2024,https://ieeexplore.ieee.org/document/10521316/,,en,Conference Paper,1,0,0
Learning from Software Security Testing,,2008,https://ieeexplore.ieee.org/document/4567022/,,en,Conference Paper,1,0,0
Software Security in DevOps: Synthesizing Practitioners’ Perceptions and Practices,,2016,https://ieeexplore.ieee.org/document/7809439/,,en,Conference Paper,0,,
A Qualitative Study on Using ChatGPT for Software Security: Perception vs. Practicality,,2024,https://ieeexplore.ieee.org/document/10835695/,,en,Conference Paper,0,,
On Categorizing Open Source Software Security Vulnerability Reporting Mechanisms on GitHub,,2025,https://ieeexplore.ieee.org/document/10992562/,,en,Conference Paper,0,,
Engaging Part-Time Students in Software Security by Inductive Learning,,2019,https://ieeexplore.ieee.org/document/8725029/,,en,Conference Paper,1,0,0
Guide of principles and good practices for software security testing in web applications for a private sector company,,2021,https://ieeexplore.ieee.org/document/9619664/,,en,Conference Paper,1,0,0
A Contextual Guidance Approach to Software Security,,2009,https://ieeexplore.ieee.org/document/5254128/,,en,Conference Paper,1,0,0
Beyond Debugging: Can Static Analysis Become a Reality for PLC Software Security?,,2026,https://ieeexplore.ieee.org/document/11339191/,,en,Early Access Article,0,,
Knowledge for software security,,2005,https://ieeexplore.ieee.org/document/1423967/,,en,Magazine Article,0,,
Adopting a software security improvement program,,2005,https://ieeexplore.ieee.org/document/1439511/,,en,Magazine Article,1,0,0
Four Software Security Findings,,2016,https://ieeexplore.ieee.org/document/7383152/,,en,Magazine Article,1,0,0
Development of a Software Security Learning Environment,,2012,https://ieeexplore.ieee.org/document/6299331/,,en,Conference Paper,1,0,0
AIPD: A Novel API Interception-Based Patch Deployment Method to Boost Software Security,,2025,https://ieeexplore.ieee.org/document/11011229/,,en,Conference Paper,1,0,0
"Software security and SOA: danger, Will Robinson!",,2006,https://ieeexplore.ieee.org/document/1588834/,,en,Magazine Article,0,,
Software Security: The Dangerous Afterthought,,2012,https://ieeexplore.ieee.org/document/6209070/,,en,Conference Paper,0,,
Software security evaluation based on a top-down McCall-like approach,,1988,https://ieeexplore.ieee.org/document/113352/,,en,Conference Paper,1,0,0
Rule-based auditing system for software security assurance,,2009,https://ieeexplore.ieee.org/document/5174311/,,en,Conference Paper,1,0,0
A Preliminary Structure of Software Security Assurance Model,,2018,https://ieeexplore.ieee.org/document/8560651/,,en,Conference Paper,1,0,0
Open and Closed Software Security Redux,,2023,https://ieeexplore.ieee.org/document/10005837/,,en,Magazine Article,0,,
Examine of Algorithmic Approaches to Software Security,,2024,https://ieeexplore.ieee.org/document/10990952/,,en,Conference Paper,0,,
Validating Software Security using Regular Expressions,,2019,https://ieeexplore.ieee.org/document/8910303/,,en,Conference Paper,1,0,0
Code Based Software Security Assessments,,2006,https://ieeexplore.ieee.org/document/4024008/,,en,Conference Paper,0,,
Health monitoring for software security,,2011,https://ieeexplore.ieee.org/document/6024360/,,en,Conference Paper,1,0,0
Workshop on Code Based Software Security Assessments (CoBaSSA 2005),,2005,https://ieeexplore.ieee.org/document/1566164/,,en,Conference Paper,0,,
Introduction to Software Security for Mobile Platforms Minitrack,,2014,https://ieeexplore.ieee.org/document/6759225/,,en,Conference Paper,0,,
Software Security Testing Lifecycle for Automotive Products,,2024,https://ieeexplore.ieee.org/document/10679433/,,en,Conference Paper,1,0,0
Economic impact of software security activities in software development,,2013,https://ieeexplore.ieee.org/document/6766349/,,en,Conference Paper,1,0,0
Software security for open-source systems,,2003,https://ieeexplore.ieee.org/document/1176994/,,en,Magazine Article,0,,
Space Odyssey: An Experimental Software Security Analysis of Satellites,,2023,https://ieeexplore.ieee.org/document/10351029/,,en,Conference Paper,1,0,0
Can source code auditing software identify common vulnerabilities and be used to evaluate software security?,,2004,https://ieeexplore.ieee.org/document/1265654/,,en,Conference Paper,1,0,0
A Unified Framework for Automating Software Security Analysis in DevSecOps,,2023,https://ieeexplore.ieee.org/document/10087568/,,en,Conference Paper,1,0,0
Is Popularity an Indicator of Software Security?,,2018,https://ieeexplore.ieee.org/document/8710484/,,en,Conference Paper,1,0,0
A New Era in Software Security: Towards Self-Healing Software via Large Language Models and Formal Verification,,2025,https://ieeexplore.ieee.org/document/11081727/,,en,Conference Paper,1,0,0
Keynote Paper: Search Based Software Testing for Software Security: Breaking Code to Make it Safer,,2009,https://ieeexplore.ieee.org/document/4976374/,,en,Conference Paper,0,,
A Research Agenda for Space Flight Software Security,,2023,https://ieeexplore.ieee.org/document/10207527/,,en,Conference Paper,0,,
A Perception of the Practice of Software Security and Performance Verification,,2018,https://ieeexplore.ieee.org/document/8587289/,,en,Conference Paper,1,0,0
Structuring a Comprehensive Software Security Course Around the OWASP Application Security Verification Standard,,2021,https://ieeexplore.ieee.org/document/9402211/,,en,Conference Paper,1,0,0
Incorporation of Aspects of Systems Security and Software Security in Senior Capstone Projects,,2012,https://ieeexplore.ieee.org/document/6209193/,,en,Conference Paper,0,,
An approach to analyze software security requirements in ABAC model,,2019,https://ieeexplore.ieee.org/document/9023902/,,en,Conference Paper,1,0,0
Analysis of the Software Security Protection,,2024,https://ieeexplore.ieee.org/document/10757202/,,en,Conference Paper,0,,
A Proposed Approach to Build an Automated Software Security Assessment Framework using Mined Patterns and Metrics,,2019,https://ieeexplore.ieee.org/document/8919532/,,en,Conference Paper,1,0,0
Assessment of Software Security Measures,,2025,https://ieeexplore.ieee.org/document/11267999/,,en,Conference Paper,1,0,0
Analysis of the Current State of Software Security Research and Preliminary Exploration of Future Trends,,2024,https://ieeexplore.ieee.org/document/11049434/,,en,Conference Paper,0,,
Big Data Technology Application in Software Security Vulnerability Analysis,,2023,https://ieeexplore.ieee.org/document/10257142/,,en,Conference Paper,1,0,0
Always-Sustainable Software Security,,2022,https://ieeexplore.ieee.org/document/9844077/,,en,Conference Paper,1,0,0
Software security testing,,2004,https://ieeexplore.ieee.org/document/1341418/,,en,Magazine Article,1,0,0
Seven pernicious kingdoms: a taxonomy of software security errors,,2005,https://ieeexplore.ieee.org/document/1556543/,,en,Magazine Article,1,0,0
A portal for software security,,2005,https://ieeexplore.ieee.org/document/1492349/,,en,Magazine Article,1,0,0
International Workshop on Code Based Software Security Assessments CoBaSSA 2007,,2007,https://ieeexplore.ieee.org/document/4400184/,,en,Conference Paper,0,,
An Analyzer-Based Software Security Measurement Model for Enhancing Software System Security,,2010,https://ieeexplore.ieee.org/document/5718353/,,en,Conference Paper,1,0,0
Improving software security with a C pointer analysis,,2005,https://ieeexplore.ieee.org/document/1553576/,,en,Conference Paper,1,0,0
An insider threat activity in a software security course,,2015,https://ieeexplore.ieee.org/document/7344087/,,en,Conference Paper,1,0,0
Fine-Grained Inspection for Higher-Assurance Software Security in Open Source,,2010,https://ieeexplore.ieee.org/document/5428667/,,en,Conference Paper,1,0,0
Effective Vulnerable Function Identification based on CVE Description Empowered by Large Language Models,,2024,https://ieeexplore.ieee.org/document/10765043/,,en,Conference Paper,1,0,0
Explaining of Transformer-based Models for Vulnerable Function Detection,,2024,https://ieeexplore.ieee.org/document/10583974/,,en,Conference Paper,1,0,0
Cross-Project Transfer Representation Learning for Vulnerable Function Discovery,,2018,https://ieeexplore.ieee.org/document/8329207/,,en,Journal Article,1,0,0
Detecting software vulnerabilities in android using static analysis,,2014,https://ieeexplore.ieee.org/document/7019227/,,en,Conference Paper,1,0,0
Reducing Software Vulnerabilities Using Machine Learning Static Application Security Testing,,2021,https://ieeexplore.ieee.org/document/10833895/,,en,Conference Paper,0,,
Reversing to detect software vulnerabilities,,2017,https://ieeexplore.ieee.org/document/7975746/,,en,Conference Paper,1,0,0
A Composed Technical Debt Identification Methodology to Predict Software Vulnerabilities,,2020,https://ieeexplore.ieee.org/document/9270298/,,en,Conference Paper,1,0,0
The Secret Life of Software Vulnerabilities: A Large-Scale Empirical Study,,2022,https://ieeexplore.ieee.org/document/9672730/,,en,Journal Article,1,0,0
? With a Little Help from My (LLM) Friends: Enhancing Static Analysis with LLMs to Detect Software Vulnerabilities,,2025,https://ieeexplore.ieee.org/document/11028575/,,en,Conference Paper,1,0,0
"Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities",,2010,https://ieeexplore.ieee.org/document/5560680/,,en,Journal Article,1,0,0
When Do Changes Induce Software Vulnerabilities?,,2017,https://ieeexplore.ieee.org/document/8181481/,,en,Conference Paper,1,0,0
Evaluation of Software Vulnerabilities in Vehicle Electronic Control Units,,2017,https://ieeexplore.ieee.org/document/8077811/,,en,Conference Paper,1,0,0
How to find and fix software vulnerabilities with coverity static analysis,,2016,https://ieeexplore.ieee.org/document/7839810/,,en,Conference Paper,0,,
Empirical results on the study of software vulnerabilities: NIER track,,2011,https://ieeexplore.ieee.org/document/6032563/,,en,Conference Paper,1,0,0
"The White-Hat Hacking Machine: Meet Mayhem, winner of the DARPA contest to find and repair software vulnerabilities",,2019,https://ieeexplore.ieee.org/document/8635814/,,en,Magazine Article,0,,
Mining Bug Databases for Unidentified Software Vulnerabilities,,2012,https://ieeexplore.ieee.org/document/6473768/,,en,Conference Paper,1,0,0
Examining the Relationship of Code and Architectural Smells with Software Vulnerabilities,,2020,https://ieeexplore.ieee.org/document/9359268/,,en,Conference Paper,1,0,0
Overview of Root Causes of Software Vulnerabilities - Technical and User-Side Perspectives,,2016,https://ieeexplore.ieee.org/document/7861655/,,en,Conference Paper,0,,
Predicting Software Vulnerabilities Using Topic Modeling with Issues,,2019,https://ieeexplore.ieee.org/document/8907170/,,en,Conference Paper,1,0,0
Estimating Software Vulnerabilities: A Case Study Based on the Misclassification of Bugs in MySQL Server,,2013,https://ieeexplore.ieee.org/document/6657228/,,en,Conference Paper,1,0,0
Empirical Analysis of Software Vulnerabilities Causing Timing Side Channels,,2023,https://ieeexplore.ieee.org/document/10288690/,,en,Conference Paper,1,0,0
Pedalogical: Feedback Tool to Reduce Software Vulnerabilities in Non-Security Computer Science Courses,,2025,https://ieeexplore.ieee.org/document/11328325/,,en,Conference Paper,1,0,0
Estimating Software Vulnerabilities from Git Project Open Source: A Machine Learning Approach,,2024,https://ieeexplore.ieee.org/document/10699087/,,en,Conference Paper,1,0,0
A Cause-Based Approach to Preventing Software Vulnerabilities,,2008,https://ieeexplore.ieee.org/document/4529348/,,en,Conference Paper,1,0,0
Survey on Software Vulnerability Analysis Method Based on Machine Learning,,2016,https://ieeexplore.ieee.org/document/7866201/,,en,Conference Paper,0,,
Research on Evaluation Index System for Software Vulnerability Analysis Methods,,2019,https://ieeexplore.ieee.org/document/8923832/,,en,Conference Paper,1,0,0
Multitask-Based Evaluation of Open-Source LLM on Software Vulnerability,,2024,https://ieeexplore.ieee.org/document/10706805/,,en,Journal Article,1,0,0
Data Preparation for Software Vulnerability Prediction: A Systematic Literature Review,,2022,https://ieeexplore.ieee.org/document/9765337/,,en,Journal Article,0,,
A Mining Approach to Obtain the Software Vulnerability Characteristics,,2017,https://ieeexplore.ieee.org/document/8026953/,,en,Conference Paper,1,0,0
Pre-Trained Model-Based Automated Software Vulnerability Repair: How Far are We?,,2023,https://ieeexplore.ieee.org/document/10232867/,,en,Journal Article,1,0,0
User-Centered Design of Visualizations for Software Vulnerability Reports,,2021,https://ieeexplore.ieee.org/document/9629428/,,en,Conference Paper,1,0,0
Exploring the generalizability of software vulnerability classes via replication and synthesis,,2025,https://ieeexplore.ieee.org/document/11229658/,,en,Conference Paper,1,0,0
Software Vulnerability Prediction based on Statistical Learning,,2022,https://ieeexplore.ieee.org/document/9844560/,,en,Conference Paper,1,0,0
VGX: Large-Scale Sample Generation for Boosting Learning-Based Software Vulnerability Analyses,,2024,https://ieeexplore.ieee.org/document/10548471/,,en,Conference Paper,1,0,0
VulAdvisor: Natural Language Suggestion Generation for Software Vulnerability Repair,,2024,https://ieeexplore.ieee.org/document/10764852/,,en,Conference Paper,1,0,0
KG4VA: Constructing Vulnerability Knowledge Graph for Software Vulnerability Assessment,,2025,https://ieeexplore.ieee.org/document/11168463/,,en,Journal Article,1,0,0
A comparative study on software vulnerability static analysis techniques and tools,,2010,https://ieeexplore.ieee.org/document/5689543/,,en,Conference Paper,0,,
Formally Analyzing Software Vulnerability Based on Model Checking,,2009,https://ieeexplore.ieee.org/document/4908340/,,en,Conference Paper,1,0,0
MGVul: a Multi-Granularity Detection Framework for Software Vulnerability,,2024,https://ieeexplore.ieee.org/document/10849117/,,en,Conference Paper,1,0,0
Automatic Software Vulnerability Analysis through a Multi-Head Attention and Long Short-Term Memory Approach,,2024,https://ieeexplore.ieee.org/document/10499176/,,en,Conference Paper,1,0,0
